Date,Ford Motor Company (F),Apple Inc. (AAPL),The Procter & Gamble Company (PG),The Coca-Cola Company (KO),Canon Inc. (CAJ)
4/13/2017,11.11,141.050003,90.029999,42.790001,30.799999
4/12/2017,11.23,141.800003,90.309998,42.939999,31.049999
4/11/2017,11.28,141.630005,89.800003,42.66,31.08
4/10/2017,11.25,143.169998,89.489998,42.689999,31.200001
4/7/2017,11.23,143.339996,89.230003,42.610001,31.32
4/6/2017,11.27,143.660004,89.400002,42.669998,31.299999
4/5/2017,11.26,144.020004,89.970001,42.57,31.51
4/4/2017,11.37,144.770004,89.910004,42.68,31.629999
4/3/2017,11.44,143.699997,89.68,42.41,31.530001
3/31/2017,11.64,143.660004,89.849998,42.439999,31.27
3/30/2017,11.68,143.929993,90.199997,42.599998,31.65
3/29/2017,11.68,144.119995,90.599998,42.419998,31.309999
3/28/2017,11.65,143.800003,90.760002,42.43,31.49
3/27/2017,11.46,140.880005,90.489998,42.32,31.360001
3/24/2017,11.62,140.639999,90.57,42.119999,31.290001
3/23/2017,11.67,140.919998,90.769997,42.169998,31.25
3/22/2017,11.77,141.419998,90.989998,42.380001,31.27
3/21/2017,11.72,139.839996,91.190002,42.5,31.110001
3/20/2017,12.28,141.460007,91.220001,42.18,31.16
3/17/2017,12.48,139.990005,91,42.029999,31.17
3/16/2017,12.7,140.690002,91.440002,42.25,31.02
3/15/2017,12.65,140.460007,91.400002,42.119999,30.66
3/14/2017,12.55,138.990005,91,41.970001,30.27
3/13/2017,12.54,139.199997,91.309998,42.029999,30.360001
3/10/2017,12.53,139.139999,91.07,41.92,30.139999
3/9/2017,12.5,138.679993,90.339996,41.662273,29.83
3/8/2017,12.53,139,90.139999,41.622626,29.77
3/7/2017,12.46,139.520004,90.290001,41.622626,29.74
3/6/2017,12.52,139.339996,90.370003,41.810962,29.52
3/3/2017,12.65,139.779999,90.5,42.108337,29.24
3/2/2017,12.66,138.960007,90.910004,42.098426,29.17
3/1/2017,12.69,139.789993,91.660004,41.791137,29.209999
2/28/2017,12.53,136.990005,91.07,41.592886,29.24
2/27/2017,12.66,136.929993,90.889999,41.305422,29.33
2/24/2017,12.47,136.660004,91.050003,41.41446,29.43
