Date,Amgen Inc. (AMGN),Teva Pharmaceutical Industries Limited (TEVA),Medtronic plc (MDT),Novartis AG (NVS),UnitedHealth Group Incorporated (UNH)
4/13/2017,161.610001,32.060001,80.010002,73.150002,164.960007
4/12/2017,163.050003,32.119999,80.099998,74.010002,165.559998
4/11/2017,163.110001,32.139999,80.150002,73.959999,165.830002
4/10/2017,162.789993,32.509998,80.300003,73.510002,165.479996
4/7/2017,163.380005,32.310001,80.370003,73.720001,166.020004
4/6/2017,162.25,32.349998,80.220001,73.709999,165.339996
4/5/2017,162.240005,31.93,80.239998,73.769997,165.369995
4/4/2017,164.360001,32,80.620003,74.769997,164.970001
4/3/2017,163.889999,32.189999,81.029999,74.400002,165.589996
3/31/2017,164.070007,32.09,80.559998,74.269997,164.009995
3/30/2017,164.380005,32.709999,80.989998,74.760002,164.990005
3/29/2017,163.059998,33.049999,81.139999,74.849998,163.440002
3/28/2017,164.710007,32.959999,80.739998,74.830002,165.350006
3/27/2017,164.910004,33.029999,81.029999,75.099998,164.600006
3/24/2017,165.740005,32.759998,81,74.370003,165
3/23/2017,166.039993,32.73,80.860001,74.43,165.289993
3/22/2017,167.449997,32.610001,81,74.190002,167.029999
3/21/2017,166.850006,32.529999,80.690005,74.389999,167.699997
3/20/2017,169.240005,33.59,80.98841,75.68,168
3/17/2017,168.610001,33.639999,81.794122,75.550003,169.699997
3/16/2017,180.110001,33.93,81.396241,75.669998,171.300003
3/15/2017,182.600006,34.34,82.85845,75.57,171.779999
3/14/2017,180.119995,33.650002,82.082578,75.059998,169.059998
3/13/2017,181.050003,33.299999,82.450619,75.610001,170.210007
3/10/2017,181.440002,33.389999,82.599826,75.599998,169.979996
3/9/2017,178.919998,32.959999,82.351151,75.110001,168.009995
3/8/2017,177.779999,32.830002,81.784173,74.260002,167.910004
3/7/2017,177.380005,33.18,80.96852,74.370003,167.675003
3/6/2017,179.460007,33.389999,81.107777,75.550003,168.073511
3/3/2017,180.199997,34.700001,81.42608,75.919998,167.575368
3/2/2017,178.070007,34.799999,81.555389,74.830002,166.688674
3/1/2017,178.240005,35.009998,81.634966,75.730003,167.316339
2/28/2017,176.529999,35.02,80.481119,75.423996,164.765848
2/27/2017,176.130005,35.409999,80.321964,74.854725,164.765848
2/24/2017,174.559998,35.043519,80.600478,74.565261,162.454457
2/23/2017,174.009995,35.479333,80.312014,74.729287,161.996173
2/22/2017,172.610001,35.627908,79.197956,74.150366,159.973713
2/21/2017,173.139999,36.301441,80.132968,74.333694,159.973713
2/17/2017,173.289993,34.865231,78.461873,74.48807,157.034656
2/16/2017,172.110001,35.46943,77.576592,74.034586,163.042262
2/15/2017,171.789993,36.420299,77.288128,73.166201,163.679885
2/14/2017,168.050003,34.568084,76.641579,72.519738,162.524204
2/13/2017,167.660004,33.676642,76.512264,72.78025,161.388438
2/10/2017,166.740002,31.883855,75.746349,72.567978,160.153038
2/9/2017,166.322881,31.943286,75.308679,72.481143,159.844191
2/8/2017,166.968423,32.072051,75.199261,71.979405,159.714669
