Date,Sirius XM Holdings Inc. (SIRI),Comcast Corporation (CMCSA),McDonald's Corporation (MCD),FedEx Corporation (FDX),"Wal-Mart Stores, Inc. (WMT)"
4/13/2017,5.1,37.139999,130.759995,183.729996,73.150002
4/12/2017,5.09,37.290001,131.259995,186.309998,73.440002
4/11/2017,5.06,37.23,131.199997,192.990005,73.43
4/10/2017,5.1,37.669998,129.979996,195.759995,73.059998
4/7/2017,5.16,38.029999,129.960007,195.649994,72.900002
4/6/2017,5.13,38.130001,130.149994,195.990005,71.43
4/5/2017,5.11,37.34,130.410004,195.850006,71.650002
4/4/2017,5.12,37.790001,129.289993,196.270004,72.010002
4/3/2017,5.1,37.560001,129.610001,195.360001,71.830002
3/31/2017,5.15,37.432,129.610001,195.149994,72.080002
3/30/2017,5.21,37.352334,129.320007,194.169998,71.589996
3/29/2017,5.14,37.063556,128.839996,190.919998,70.739998
3/28/2017,5.11,36.934101,129.449997,189.889999,70.32
3/27/2017,5.1,36.954018,129.490005,187.039993,69.660004
3/24/2017,5.1,37.222883,129.339996,188.119995,69.610001
3/23/2017,5.13,37.063556,129,189.190002,69.860001
3/22/2017,5.1,36.884312,129.100006,195.919998,70.25
3/21/2017,5.19,36.914185,128.520004,191.839996,69.900002
3/20/2017,5.31,37.322461,128.779999,192.270004,69.980003
3/17/2017,5.36,37.302545,128.639999,194.589996,69.889999
3/16/2017,5.33,37.521621,127.980003,193.110001,70.440002
3/15/2017,5.3,37.591327,127.879997,193.259995,70.580002
3/14/2017,5.39,37.252756,127.800003,191.380005,70.720001
3/13/2017,5.44,37.143218,127.610001,193.119995,69.949997
3/10/2017,5.19,37.163134,127.980003,192.149994,70.099998
3/9/2017,5.15,37.222883,128.139999,191.309998,69.860001
3/8/2017,5.16,36.954018,128.089996,192.919998,69.800003
3/7/2017,5.12,37.262712,128.070007,192.910004,69.360005
3/6/2017,5.09,37.282629,128.029999,193.949997,69.369926
3/3/2017,5.11,37.063556,127.900002,194.350006,69.518833
3/2/2017,5.13,37.292589,128.229996,194.710007,70.243508
3/1/2017,5.17,37.432,129.050003,197.419998,69.935765
